Month,KKE_DKoutsoumpas,ND_KMitsotakis,NA-AHaritsis,SYRIZA-SKasselakis,PASOK-NAndroulakis,Plefsi-ZKonstantopoulou,EllinikiLysi-KVelopoulos,Spartiates-VStigas,NIKI-DNatsios
2016-02-29 00:00:00+00:00,1.0,0,,,2.0,,,,
2016-03-31 00:00:00+00:00,0.0,0,,,5.0,,,,
2016-04-30 00:00:00+00:00,1.0,0,,,3.0,,,,
2016-05-31 00:00:00+00:00,0.0,0,,,1.0,,,,
2016-06-30 00:00:00+00:00,0.0,0,,,2.0,,,,
2016-07-31 00:00:00+00:00,0.0,0,,,2.0,,,,
2016-08-31 00:00:00+00:00,0.0,0,,,0.0,,,,
2016-09-30 00:00:00+00:00,0.0,0,,,1.0,,,,
2016-10-31 00:00:00+00:00,0.0,0,,,3.0,,,,
2016-11-30 00:00:00+00:00,1.0,0,,,0.0,,,,
2016-12-31 00:00:00+00:00,0.0,0,,,1.0,,,,
2017-01-31 00:00:00+00:00,0.0,0,,,1.0,,18.0,,
2017-02-28 00:00:00+00:00,0.0,0,,,2.0,,26.0,,
2017-03-31 00:00:00+00:00,2.0,64,,,2.0,,16.0,,
2017-04-30 00:00:00+00:00,0.0,1,,,2.0,,20.0,,
2017-05-31 00:00:00+00:00,0.0,2,,,0.0,,20.0,,
2017-06-30 00:00:00+00:00,0.0,5,,,1.0,,22.0,,
2017-07-31 00:00:00+00:00,0.0,1,,,0.0,,5.0,,
2017-08-31 00:00:00+00:00,0.0,0,,,0.0,,32.0,,
2017-09-30 00:00:00+00:00,0.0,2,,,3.0,,41.0,,
2017-10-31 00:00:00+00:00,1.0,0,,,5.0,,41.0,,
2017-11-30 00:00:00+00:00,3.0,1,,,1.0,,24.0,,
2017-12-31 00:00:00+00:00,0.0,0,,,0.0,,6.0,,
2018-01-31 00:00:00+00:00,0.0,1,,,0.0,,41.0,,
2018-02-28 00:00:00+00:00,0.0,2,,,3.0,,40.0,,
2018-03-31 00:00:00+00:00,0.0,3,,,1.0,,54.0,,
