Title,Description
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στην Διαρκή Επιτροπή  Κοινωνικών Υποθέσεων",15/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για την κύρωση του Κρατικού Προϋπολογισμού 2024",15/12/2023
"Ομιλία του Βουλευτή Ηρακλείου, Μιχαήλ Γαυγιωτάκη, για την κύρωση του Κρατικού Προϋπολογισμού",14/12/2023
"Ομιλία Βουλευτή Β' Θεσσαλονίκης, Π. Δημητριάδη, στην Εξεταστική Επιτροπή για το έγκλημα των Τεμπών",14/12/2023
"Ομιλία Βουλευτή Β2' Δυτικού Τομέα Αθηνών, Γιώργου Μανούσου για κύρωση του Κρατικού Προϋπολογισμού",14/12/2023
"Ομιλία Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, για την κύρωση του Κρατικού Προϋπολογισμού έτους 2024",13/12/2023
«ΣΠΑΡΤΙΑΤΕΣ»: Η μοναδική πατριωτική φωνή στην Ελληνική Βουλή!,Βίντεο (spot campaign) για την Επίσημη Σελίδα μας στο Facebook
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη, για Σ/Ν Υπουργείου Οικονομικών για κύρωση Προϋπολογισμού",13/12/2023
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για το Σ/Ν του Υπουργείου Εθνικής Οικονομίας",12/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στην Διαρκή Επιτροπή Οικονομικών Υποθέσεων",12/12/2023
"Ο Βουλευτής Αιτωλοακαρνανίας, Διονύσης Βαλτογιάννης, στην Διαρκή Επιτροπή Παραγωγής και Εμπορίου",12/12/2023
"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, στην Εξεταστική Επιτροπή για το έγκλημα των Τεμπών",13/12/2023
"Δήλωση Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη, για θάνατο Κώστα Νεστορίδη & Μέτρα κατά της οπαδικής βίας",12/12/2023
"Ομιλία του Βουλευτή Αιτωλοακαρνανίας, Δ. Βαλτογιάννη, στην Επιτροπή Οδικής Ασφάλειας",12/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, για το Σ/Ν του Υπ. Ψηφιακής Διακυβέρνησης",11/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στην Επιτροπή Οικονομικών Υποθέσεων για το Σ/Ν",11/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη,  για το Σ/Ν του Υπ. Ψηφιακής Διακυβέρνησης",11/12/2023
