,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
91,Ulz9VODCJpk,"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για το Σ/Ν του Υπ. Εργασίας & Κοινωνικής Ασφάλισης",2023-12-19 11:52:25+00:00,19/12/2023,[],137,13,0,0,2023-12-19,11:52:25,0.0948905109489051,0.0,0.0,64.9
92,HuDEVR3CwX0,"Απάντηση Προέδρου Κ.Ο. «ΣΠΑΡΤΙΑΤΕΣ», Β. Στίγκα, στην επιχείρηση λάσπης του «δικαστή» Άδωνι Γεωργιάδη",2023-12-19 09:38:58+00:00,19/12/2023,[],406,34,0,0,2023-12-19,09:38:58,0.08374384236453201,0.0,0.0,191.20000000000002
93,wOaxLFSLkAc,"Μομφή Προέδρου Β. Στίγκα στον Γεωργιάδη, που αντιποιείται την άσκηση του δικαστικού λειτουργήματος",2023-12-19 09:22:40+00:00,19/12/2023,[],285,26,0,0,2023-12-19,09:22:40,0.0912280701754386,0.0,0.0,134.75
94,z1QrCby-4bo,"Παρέμβαση Προέδρου Κ.Ο. Βασίλειου Στίγκα, για την Τροπολογία περί αδειών παραμονής στους μετανάστες",2023-12-19 09:00:31+00:00,18/12/2023,[],966,29,0,0,2023-12-19,09:00:31,0.030020703933747412,0.0,0.0,441.95
95,lAZKxekhFCU,"Ομιλία του Βουλευτή Α' Αθηνών, Αθανασίου Χαλκιά, για την Τροπολογία του Υπ. Εργασίας για μετανάστες",2023-12-19 08:08:27+00:00,18/12/2023,[],116,14,0,0,2023-12-19,08:08:27,0.1206896551724138,0.0,0.0,55.7
96,EzqsE9T74zo,"Ομιλία Βουλευτή Β' Πειραιώς, Αλέξανδρου Ζερβέα, για το Σ/Ν του Υπ. Εργασίας & Κοινωνικής Ασφάλισης",2023-12-19 07:48:58+00:00,18/12/2023,[],224,17,0,0,2023-12-19,07:48:58,0.07589285714285714,0.0,0.0,105.05
97,UiQ4OTJIpKo,"Εμείς οι ΣΠΑΡΤΙΑΤΕΣ αντιστεκόμαστε, προασπιζόμενοι το παρόν και το μέλλον των παιδιών μας!",2023-12-18 17:00:37+00:00,Κορίνα Τριανταφύλλου (Εκπρόσωπος Τύπου «ΣΠΑΡΤΙΑΤΕΣ»),[],238,21,0,0,2023-12-18,17:00:37,0.08823529411764706,0.0,0.0,112.35000000000001
98,rH2h9f4UENg,"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, για την τροπολογία για άδειες παραμονής μεταναστών",2023-12-18 16:32:58+00:00,18/12//2023,[],625,27,0,0,2023-12-18,16:32:58,0.0432,0.0,0.0,288.0
99,4GWZtEunq04,"Ομιλία Προέδρου της Κ.Ο. Βασίλειου Στίγκα,  για την τροπολογία για άδειες παραμονής στους μετανάστες",2023-12-18 13:57:54+00:00,18/12/2023,[],408,24,0,0,2023-12-18,13:57:54,0.058823529411764705,0.0,0.0,189.6
100,39Uh4Kubx4o,Οι «ΣΠΑΡΤΙΑΤΕΣ» στις εορταστικές εκδηλώσεις εις Μνήμη των Προστατών της Πυροσβεστικής Υπηρεσίας,2023-12-18 11:40:09+00:00,17/12/2023,[],157,13,0,0,2023-12-18,11:40:09,0.08280254777070063,0.0,0.0,73.9
101,bPVBcSwKoUE,Ομιλία του Βουλευτή Β' Θεσσαλονίκης Π. Δημητριάδη για την κύρωση του Κρατικού Προϋπολογισμού 2024,2023-12-18 10:20:44+00:00,16/12/2023,[],137,14,0,0,2023-12-18,10:20:44,0.10218978102189781,0.0,0.0,65.15
102,Yv0X5Qp0K6Y,"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Kόντη, για την κύρωση του Προϋπολογισμού 2024",2023-12-18 08:41:36+00:00,17/12/2023,[],232,15,0,0,2023-12-18,08:41:36,0.06465517241379311,0.0,0.0,108.15
