,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
18,uDOuz-WjIW0,Συγκέντρωση για τη φορολόγηση των ελεύθερων επαγγελματιών,2023-11-22 14:30:08+00:00,,[],4132,149,0,12,2023-11-22,14:30:08,0.036060019361084224,0.002904162633107454,0.0,1899.0500000000002
19,Dx9d0Ynk9No,"Συνέντευξη στο Κόκκινο 105,5 και στην Ευγενία Λουπάκη",2023-11-20 15:44:23+00:00,"Με τίμησε ο Αλέξης Τσίπρας να είμαι στο Επικρατείας. Έτρεξα για μήνες, δίπλα του. Αν δεν σεβόμουν το κόμμα, δεν θα σεβόμουν τον Αλέξη Τσίπρα.
Επειδή ακριβώς σέβομαι το κόμμα, έτεινα χείρα φιλίας από την πρώτη μέρα.
Προσκάλεσα την κυρία Αχτσιόγλου στο γραφείο μου στη βουλή και της προσέφερα όποιον ρόλο ήθελε.
Άρα, όταν διαβάζω ότι «δεν υπάρχει δυνατότητα συμβίωσης με την τωρινή ηγετική ομάδα», ξέρετε τι σκέφτομαι; Μα θα ήταν ηγετική ομάδα αν είχαν αποδεχθεί την πρόσκλησή μου.
Και αυτήν την εβδομάδα, είπα ότι ήθελα να κάνω ένα πολιτικό κέντρο, να είμαστε ισότιμοι, δεν υπάρχει στενός κύκλος. Έχω πει τόσες φορές: ο δεύτερος είναι πρώτος. 
Από εκεί και πέρα, κανείς δεν έχει δικαίωμα να παίζει με την υπομονή και την αγωνία του κόσμου του ΣΥΡΙΖΑ. Αν είναι να αποφασίσουν κάτι, ας το αποφασίσουν τώρα. Ούτε εγώ έχω δικαίωμα να παίζω με την υπομονή και την αγωνία του κόσμου του ΣΥΡΙΖΑ.",[],2476,146,0,42,2023-11-20,15:44:23,0.05896607431340872,0.016962843295638127,0.0,1159.1000000000001
20,4PURZO0Cr4s,Ομιλία στο κλείσιμο των εργασιών της Κεντρικής Επιτροπής του ΣΥΡΙΖΑ - ΠΣ,2023-11-14 11:08:56+00:00,"Δεν πρέπει κανείς να χειροκροτήσει για την αποχώρηση της ομάδας της Ομπρέλας.
Να σας πω γιατί;
Όχι επειδή αισθάνομαι άσχημα για τα 43 άτομα που υπογράφουν, αλλά διότι υπάρχει κόσμος του ΣΥΡΙΖΑ που βάσισε τις ελπίδες του και σε αυτούς τους ανθρώπους.
Δεν μπορούμε, αλαζονικά, να προσβάλλουμε όσους έβαλαν σταυρό σε αυτούς τους ανθρώπους.
Και θέλω να πω στον κόσμο που είχε ευθυγραμμιστεί με τη συγκεκριμένη πρώην τάση του ΣΥΡΙΖΑ: έχετε χώρο εδώ μαζί μας, γιατί εδώ η μόνη τάση θα είναι η δημοκρατική τάση από τη βάση. Με τα όργανα να κάνουν πολιτική από εσάς για εσάς και για όλη την κοινωνία.
Υπάρχουν δύο βουλευτές που έχουν υπογράψει την αποχώρησή τους από τον ΣΥΡΙΖΑ. Τους θυμίζω το άρθρο 2β του κώδικα δεοντολογίας, στον οποίο έχουν συμφωνήσει, που λέει: «Όλοι και όλες οι βουλευτές που εκλέγονται με ψηφοδέλτιο του ΣΥΡΙΖΑ δεσμεύονται πολιτικά και ηθικά ότι η έδρα που καταλαμβάνουν ανήκει στο κόμμα και όχι στους ίδιους και στις ίδιες». Τους καλώ να δώσουν την έδρα πίσω στον ΣΥΡΙΖΑ. Διότι στις πλάτες του Αλέξη και του ΣΥΡΙΖΑ έχουν τις έδρες.
Έχουμε προφανώς μία νέα πραγματικότητα: Πλέον δεν υπάρχουν διαγραφές. Συνεπώς δεν υπάρχει κανένας λόγος δημοψηφίσματος για κανένα θέμα.
Το καταστατικό του κόμματος πάντα ίσχυε, πάντα θα ισχύει, και με μένα πρώτα από όλους.
Από την εισήγηση την οποία ετοίμασαν οι γραμματείς, σας διαβάζω τη διατύπωση η οποία με βρίσκει πλήρως σύμφωνο: «Τα άτομα που εκτοξεύουν τέτοιες ύβρεις και συκοφαντίες δεν μπορεί να φέρουν την ιδιότητα του μέλους του ΣΥΡΙΖΑ - Προοδευτική συμμαχία και δεν μπορεί να εκπροσωπούν το κόμμα».
Σήμερα αρχίζει η ενότητα του ΣΥΡΙΖΑ.
Όπως είπα και χθες -και το εννοώ-, δεν υπάρχει στενός κύκλος. Θέλετε να δουλέψετε; Ελάτε. «Ξεσκονίζω» από πάνω μας ό,τι έχει ειπωθεί εδώ μέσα.
Αύριο είναι μία καινούργια μέρα για τον ΣΥΡΙΖΑ.",[],3169,157,0,31,2023-11-14,11:08:56,0.04954244241085516,0.009782265698958662,0.0,1471.5
21,jfCbUjhfB0I,Ομιλία στην έναρξη των εργασιών της Κεντρικής Επιτροπής του ΣΥΡΙΖΑ - ΠΣ,2023-11-11 12:44:51+00:00,"Ομιλία του προέδρου του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία, Στέφανου Κασσελάκη, στην έναρξη των εργασιών της Κεντρικής Επιτροπής του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία. (11.11.2023)",[],41948,780,0,296,2023-11-11,12:44:51,0.018594450271765043,0.007056355487746734,0.0,19130.800000000003
22,hXwLMQIKBk0,Δε θα κάνω πίσω. Θα τιμήσω την εντολή που έλαβα πλήρως.,2023-11-10 11:34:35+00:00,"Δε θα κάνω πίσω.
Η λειτουργία ενός κόμματος, πόσω μάλλον της Αξιωματικής Αντιπολίτευσης, αποτελεί πολύ σοβαρό ζήτημα για να γίνεται θέμα αναβολών και σκόπιμων ή μη καθυστερήσεων.

Γι’ αυτόν τον λόγο αύριο θα ζητήσω από την Κεντρική Επιτροπή να αποφασίσει τη διεξαγωγή δημοψηφίσματος απευθείας από τα μέλη και τους φίλους του κόμματος για την αποπομπή των 4 στελεχών που προσέβαλαν βάναυσα όλους μας. Εάν η Κ.Ε. αρνηθεί, θα προχωρήσω στη διεξαγωγή του δημοψηφίσματος με αίτημα του 15% των μελών του ΣΥΡΙΖΑ, ακριβώς όπως προβλέπει το καταστατικό μας.

Στο όνομα των αγωνιστών της καθημερινότητας και όχι των κομματικών γραφείων, σας λέω ξεκάθαρα:
Δε θα κάνω πίσω! Θα τιμήσω την εντολή που έλαβα πλήρως. Ο ΣΥΡΙΖΑ θα γίνει ένα υγιές, ενιαίο κόμμα, όπου η μόνη τάση θα είναι η δημοκρατία από τη βάση.",[],7637,417,0,93,2023-11-10,11:34:35,0.05460259264108943,0.012177556632185412,0.0,3559.5
23,4MCgM2WcZQY,473.000 ελεύθεροι επαγγελματίες θα πληρώσουν επιπλέον φόρο 1444 ευρώ ο καθένας!,2023-11-02 07:53:36+00:00,"Ξέρετε τι είναι να γίνει με το νέο φορολογικό καθεστώς Μητσοτάκη;
Δείτε στο βίντεο.
Η λογική «41% έχω, ό,τι θέλω κάνω» οδηγεί ΚΑΙ σε φορολογική αλαζονεία. 
Δεσμευόμαστε στους ελεύθερους επαγγελματίες ότι με εισόδημα ως 10.000 ευρώ, ο φόρος τους θα είναι ΜΗΔΕΝ.
Όχι επειδή σας κάνουμε χάρη.
Αλλά επειδή με αυτά τα εισοδήματα, είναι κοινωνική ανάγκη ο φόρος που πληρώνετε να είναι ΜΗΔΕΝ.",[],3835,156,0,21,2023-11-02,07:53:36,0.04067796610169491,0.005475880052151239,0.0,1768.95
24,ALUpUFRuA7I,Ομιλία στη συνεδρίαση της ΚΟ του ΣΥΡΙΖΑ - ΠΣ,2023-11-01 05:30:03+00:00,"Η πρότασή μας για ένα Δημόσιο με Αξιοκρατία: Όλες οι διοικήσεις να επιλέγονται από το ΑΣΕΠ.

Ο ΣΥΡΙΖΑ προτείνει τα αυτονόητα: 

Όλες οι διαδικασίες επιλογής των Διοικήσεων του Δημοσίου να περάσουν στον πλήρη έλεγχο του ΑΣΕΠ. Εμπιστευόμαστε την Ανεξάρτητη Αρχή να επιλέξει τους πραγματικά κατάλληλους για κάθε θέση. Αυτό σημαίνει για εμάς αριστεία. 
Δεν είναι μάρκετινγκ. Στην πράξη, για τις ζωές των Ελλήνων.
Όλη η διαδικασία ξεκινάει και ολοκληρώνεται από τον ΑΣΕΠ. Αυτή είναι και η δική μας πρόταση. Χωρίς δισταγμούς, χωρίς εκπτώσεις, χωρίς υπεκφυγές.

Στην πράξη λοιπόν:

1) Η επιλογή των Διοικητών των δημόσιων Οργανισμών να γίνεται αποκλειστικά από το ΑΣΕΠ. Χωρίς καμία παρέμβαση της κυβέρνησης.  Πετάμε τον κομματισμό και το ρουσφέτι έξω από το Δημόσιο Τομέα. Φέρνουμε οξυγόνο αξιοκρατίας και διαφάνειας στη λειτουργία του Δημοσίου.
 
 2) Οι Διοικήσεις των Οργανισμών θα αξιολογούνται ανά τακτά διαστήματα τόσο από τους εργαζόμενους, όσο και από τις τοπικές κοινωνίες και τους αποδέκτες των υπηρεσιών τους. Δίνουμε το λόγο στην κοινωνία. Αυτούς υπηρετούμε, σε αυτούς λογοδοτούμε.",[],6887,242,0,78,2023-11-01,05:30:03,0.03513866705386961,0.011325686075214171,0.0,3175.25
25,igSB40wjBNM,Δήλωση για την 28η Οκτωβρίου,2023-10-28 17:46:50+00:00,"Xρόνια πολλά σε όλες τις Eλληνίδες και σε όλους τους Έλληνες.
Eίναι μια συγκινητική μέρα για τη χώρα μας, για το έθνος μας, για όλο τον ελληνισμό. Eίναι η ημέρα που 83 χρόνια πριν, η Eλλάδα ξάφνιασε όλη την υφήλιο. Πολύ πιο δυνατές, θεωρητικά, χώρες έπεσαν μέσα σε λίγες μέρες. 
Ο ελληνικός λαός είπε ΟΧΙ και πέτυχε το ακατόρθωτο. Με μία αντίσταση η οποία άλλαξε την Ιστορία. 
Είμαστε η μόνη χώρα η οποία γιορτάζει και την απελευθέρωση και την αντίσταση ενάντια στο φασισμό.
Πρέπει να θυμόμαστε αυτή τη μέρα, να αντλούμε έμπνευση από τους αγώνες του ελληνικού λαού και να συνειδητοποιούμε κάθε μέρα ότι ο τρόπος με τον οποίο προστατεύουμε τη χώρα μας, την ελευθερία μας είναι με το να είμαστε μία ενωμένη κοινωνία. Μια κοινωνία η οποία με αίσθημα συλλογικότητας μπορεί να χτίσει μια πραγματικά δυνατή οικονομία η οποία με τη σειρά της θα υποστηρίξει τις ένοπλες δυνάμεις. 
Πάνω από όλα όμως, ενότητα μεταξύ μας. Αυτή θα υπηρετήσω προσωπικά ως αρχηγός αξιωματικής αντιπολίτευσης.",[],2111,120,0,33,2023-10-28,17:46:50,0.05684509711037423,0.015632401705352912,0.0,986.5500000000001
26,pciIZSCWdNc,Ομιλία στο 27ο ετήσιο Συνέδριο του Economist,2023-10-27 08:39:54+00:00,"Ομιλία του Προέδρου του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία, Στέφανου Κασσελάκη, στο 27ο ετήσιο Συνέδριο του Economist. (26.10.2023)",[],4311,194,0,55,2023-10-27,08:39:54,0.045001159823706796,0.012758060774762237,0.0,1999.45
27,KWM9xc2iOzQ,Προς το καλύτερο. Προς το Δίκαιο. Προς την Αριστερά.,2023-10-22 18:45:41+00:00,"Έψαξαν τι έλεγα στα 19 και στα 24 μου. Λες και οι άνθρωποι
δεν αλλάζουν. Ειδικά σε αυτήν την ηλικία.
Βιωματικά μεγάλωσα. Έγινα επιχειρηματίας. Είδα τις
γιγαντιαίες ανισότητες. Άλλαξα. Έχω τη δύναμη να αλλάζω.
Εγώ δεν ανήκω σε πολιτική οικογένεια. Δεν είμαι κληρονόμος. Ό,τι είμαι είναι ό,τι κατέκτησα μόνος. Γι’ αυτόν τον λόγο έχω την ελευθερία της Αλλαγής. Προς το καλύτερο. Προς το Δίκαιο. Προς την Αριστερά.",[],4588,242,0,75,2023-10-22,18:45:41,0.05274629468177855,0.016346992153443766,0.0,2140.1
